alpha_code,taxonomy,common_name,scientific_name,exposure_model,iucn_status,prop0561,prop0562,prop0563,prop0564,prop0565,prop0566,prop0567,propOR,propCA,propALL,CV,DV
NABO,"Sulidae (Gannets, Boobies)",Nazca Booby,Sula granti,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00591,0.75
BFBO,"Sulidae (Gannets, Boobies)",Blue-footed Booby,Sula nebouxii,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00591,0.75
BRBO,"Sulidae (Gannets, Boobies)",Brown Booby,Sula leucogaster,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00608,0.75
RFBO,"Sulidae (Gannets, Boobies)",Red-footed Booby,Sula sula,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01109,0.678
HAPE,"Procellariidae (Petrels, Shearwaters)",Hawaiian Petrel (low),Pterodroma sandwichensis,elicited,EN,2.015508705326344e-5,2.2934393856535653e-5,3.06528635691305e-5,2.575231770396119e-5,1.9227796346891815e-5,1.6376209927644225e-5,4.9682849689700655e-5,6.660683888515243e-5,1.2231653195861816e-4,1.9130289889965156e-4,7.4e-4,0.26
HAPE,"Procellariidae (Petrels, Shearwaters)",Hawaiian Petrel (mean),Pterodroma sandwichensis,elicited,EN,7.502942403805185e-5,8.175626423331137e-5,6.769026478696236e-5,6.11295076406899e-5,5.166677342279456e-5,6.013763605252509e-5,1.6034276217056885e-4,2.2215789448572055e-4,3.545493823665025e-4,5.814070221800576e-4,7.4e-4,0.26
HAPE,"Procellariidae (Petrels, Shearwaters)",Hawaiian Petrel (high),Pterodroma sandwichensis,elicited,EN,2.7926317184288175e-4,2.913998300122149e-4,1.4947272016702326e-4,1.4509898272779473e-4,1.3882554925186513e-4,2.2081497517301385e-4,5.173508755228967e-4,7.407078229628985e-4,0.00102725162259858,0.00176560514249754,7.4e-4,0.26
STAL,Diomedeidae (Albatrosses),Short-tailed Albatross (low),Phoebastria albatrus,elicited,VU,1.2126543419511144e-4,1.21476879652897e-4,4.7234957521146447e-5,4.109595739111027e-5,3.513644387284214e-5,8.392243953665951e-5,2.266317569876474e-4,3.1679155086879906e-4,3.891291111072152e-4,7.064707113130607e-4,0.01056,0.162
STAL,Diomedeidae (Albatrosses),Short-tailed Albatross (mean),Phoebastria albatrus,elicited,VU,3.96340760967795e-4,3.670765208110952e-4,1.0111713094272716e-4,9.96511402033417e-5,9.887920278641474e-5,2.8735864139510834e-4,5.694296799662152e-4,8.674424127817719e-4,0.00109335050755008,0.00196253855246777,0.01056,0.162
STAL,Diomedeidae (Albatrosses),Short-tailed Albatross (high),Phoebastria albatrus,elicited,VU,0.00129458185320652,0.00110867426019277,2.164508291681895e-4,2.4161795715113308e-4,2.78228674975357e-4,9.834590617700718e-4,0.00142999413425914,0.00237296918529983,0.00306811580557968,0.00543967249426436,0.01056,0.162
TOSP,Hydrobatidae (Northern Storm-petrels),Townsend's Storm-Petrel (low),Hydrobates socorroensis,elicited,EN,9.318091572447446e-5,1.0576129043883109e-4,9.682415066923184e-5,1.0139631303372508e-4,1.2694369746608087e-4,6.463754086157379e-5,2.1354128430576516e-4,2.886818383360556e-4,5.901243005511707e-4,9.28581941665058e-4,0.00515,0.371
TOSP,Hydrobatidae (Northern Storm-petrels),Townsend's Storm-Petrel (mean),Hydrobates socorroensis,elicited,EN,1.2818704019123203e-4,1.483605493812999e-4,1.7924435052880515e-4,2.0207626232460435e-4,2.8490961593134344e-4,9.770286962496688e-5,2.907838025437483e-4,3.918047733832688e-4,9.776236380423069e-4,0.00139025176476631,0.00515,0.371
TOSP,Hydrobatidae (Northern Storm-petrels),Townsend's Storm-Petrel (high),Hydrobates socorroensis,elicited,EN,1.7634191540877837e-4,2.0811465911987692e-4,3.318003081570664e-4,4.0268459834829e-4,6.393191293979668e-4,1.476802665151771e-4,3.959555509852866e-4,5.317456925363401e-4,0.00161915838288277,0.00208097523057014,0.00515,0.371
