"","alpha_code","taxonomy","common_name","scientific_name","pct_in_CCS_Lower","pct_in_CCS_Upper","CCSpop_Score","CACurrent_breeding","regional","why?","exposure_model","iucn_status","iucn_trend","ESA","CA_status","OR_status","WA_status","NOM_059_ECOL_2001","COSEWIC","propOR","propCA","propALL","CV","DV","rescaled_propALL","rescaled_propCA","rescaled_propOR","rescaled_DV","rescaled_CV","highest_sens"
"39","WEGR","Podicipedidae (Grebes)","Western Grebe","Aechmophorus occidentalis",86.23,81.69,4,FALSE,"Y",">1% gobal population uses CCS","WEGR-CLGR","LC","stable",NA,NA,NA,NA,NA,NA,0.000156339331243999,0.000324619662230411,0.000480958993474411,0.00142,0.342,0.041652975718677,0.0397178511104451,0.0286643792722242,0.423684210526316,0.00816516971888487,"DV"
"40","BVSH","Procellariidae (Petrels, Shearwaters)","Black-vented Shearwater","Puffinus opisthomelas",9.76,14.63,2,FALSE,"Y",">1% gobal population uses CCS","BVSH","NT","stable",NA,NA,NA,NA,"P (endangered)",NA,0.000377814455380649,0.000805009899885112,0.00118282435526576,4e-05,0.228,0.127810948164815,0.121929195819982,0.0878681537969604,0.273684210526316,0.000116645281698355,"DV"
"41","HEEG","Laridae (Gulls, Terns, Skimmers)","Heermann's Gull","Larus heermanni",5.09,90,3,TRUE,"Y",">1% gobal population uses CCS","HEEG","NT","unknown",NA,NA,NA,NA,NA,NA,0.000276369018444061,0.000542642817230317,0.000819011835674378,0.04989,0.144,0.0831508883514732,0.0770291354484955,0.0607501973295268,0.163157894736842,0.290855009914849,"CV"
"42","SPSK","Stercorariidae (Skuas)","South Polar Skua","Stercorarius maccormicki",NA,NA,2,FALSE,"Y",">1% gobal population uses CCS","SPSK","LC","stable",NA,NA,NA,NA,NA,NA,0.00379000422686904,0.00408548208563882,0.00787548631250786,0.0124,0.038,0.949373338751627,0.683331173907011,1,0.0236842105263158,0.0722034293712819,"CV"
"43",NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,"CORM",NA,NA,NA,NA,NA,NA,NA,NA,0.000147733674265463,0.000333113290240847,0.00048084696450631,NA,NA,0.0416392235244925,0.0411714039211966,0.0263639521819107,NA,NA,"tie"
"44","BLSP","Hydrobatidae (Northern Storm-petrels)","Black Storm-Petrel","Hydrobates melania",0.07,0.51,1,TRUE,"Y","breeds in CCS","BLSP","LC","decreasing",NA,NA,NA,NA,"A (threatened)",NA,0.000442583078449471,0.00139148088760557,0.00183406396605504,0.00591,0.279,0.207754321205778,0.222294617001346,0.105181822640773,0.34078947368421,0.0343520354601656,"DV"
"45","ELTE","Laridae (Gulls, Terns, Skimmers)","Elegant Tern","Thalasseus elegans",1.42,70.92,3,TRUE,"Y",">1% gobal population uses CCS","ROYT-ELTE","NT","stable",NA,NA,NA,NA,NA,NA,0.000455267588340549,0.000983670171967719,0.00143893776030827,0.01952,0.308,0.159250327988917,0.152504132741661,0.108572591091521,0.378947368421053,0.113729149655896,"DV"
"46","ROYT","Laridae (Gulls, Terns, Skimmers)","Royal Tern","Thalasseus maximus",0.14,5.41,1,TRUE,"N","technically breeds irregularly in southern CA, but breeds and forages primarily inshore, not considered highly pelagic","ROYT-ELTE","LC","stable",NA,NA,NA,NA,NA,NA,0.000455267588340549,0.000983670171967719,0.00143893776030827,0.01952,NA,0.159250327988917,0.152504132741661,0.108572591091521,NA,0.113729149655896,"tie"
"47","LAAL","Diomedeidae (Albatrosses)","Laysan Albatross","Phoebastria immutabilis",NA,NA,1,TRUE,"Y","tentative suggestion to include precautionarily given that they breed on Guadalupe Island and based on discussions of translocation to channel islands (Raine et al 2022)","LAAL","NT","stable",NA,NA,NA,NA,"A (threatened)",NA,7.84255504944731e-05,0.000126123239800472,0.000204548790294945,0.01054,0.085,0.00772204827044743,0.00574826445176015,0.00783680359822386,0.0855263157894737,0.0613554181733349,"DV"
"48","TUPU","Alcidae (Auks)","Tufted Puffin","Fratercula cirrhata",0.01,0.01,2,TRUE,"Y",">1% gobal population uses CCS","TUPU","LC","stable",NA,NA,NA,"endangered",NA,NA,0.000480409832198924,0.000635471948101426,0.00111588178030035,3e-05,0.331,0.119593365643542,0.0929154026515708,0.115293507231605,0.40921052631579,5.83226408491776e-05,"DV"
