expert,target_species,ref_model,weight,model_code
5,Short-tailed Albatross,Leach’s Storm Petrel,0.1,LESP
5,Short-tailed Albatross,Northern Fulmar,0.1,NOFU
5,Short-tailed Albatross,Murphy’s Petrel,0.05,MUPE
5,Short-tailed Albatross,Pink-footed Shearwater,0.05,PFSH
5,Townsend's Storm-Petrel,Leach’s Storm Petrel,0.8,LESP
5,Townsend's Storm-Petrel,Ashy Storm-Petrel,0.1,ASSP
5,Townsend's Storm-Petrel,Black Storm-Petrel,0.1,BLSP
5,Hawaiian Petrel,Cassin’s Auklet,0.05,CAAU
5,Hawaiian Petrel,Laysan Albatross,0.25,LAAL
5,Hawaiian Petrel,Black-footed Albatross,0.05,BFAL
5,Hawaiian Petrel,Northern Fulmar,0.05,NOFU
5,Hawaiian Petrel,Murphy’s Petrel,0.35,MUPE
5,Hawaiian Petrel,Cook’s Petrel,0.15,COPE
5,Hawaiian Petrel,"Combined Short-tailed, Sooty, & Flesh-footed Shearwater Model",0.1,STTS-SOSH-FFSH
6,Short-tailed Albatross,Laysan Albatross,0.3,LAAL
6,Short-tailed Albatross,Black-footed Albatross,0.6,BFAL
6,Short-tailed Albatross,"Combined Short-tailed, Sooty, & Flesh-footed Shearwater Model",0.1,STTS-SOSH-FFSH
6,Townsend's Storm-Petrel,"Combined Scripp’s, Guadalupe, & Craveri’s Murrelet Model",0.1,SCMU-GUMU-CRMU
6,Townsend's Storm-Petrel,Leach’s Storm Petrel,0.3,LESP
6,Townsend's Storm-Petrel,Black Storm-Petrel,0.5,BLSP
6,Townsend's Storm-Petrel,Cook’s Petrel,0.1,COPE
6,Hawaiian Petrel,Leach’s Storm Petrel,0.1,LESP
6,Hawaiian Petrel,Murphy’s Petrel,0.2,MUPE
6,Hawaiian Petrel,Cook’s Petrel,0.7,COPE
7,Short-tailed Albatross,Sabine’s Gull,0.1,SAGU
7,Short-tailed Albatross,Black-footed Albatross,0.6,BFAL
7,Short-tailed Albatross,Northern Fulmar,0.3,NOFU
